		t	year	month	day	hour	Te	RHe_water	ws	wd	Rglob	Rdif	Rbeam	precip
       1    2030       1       1       0    -3.7    91.5    3.09    38.7     0.0     0.0     0.0    0.00
       2    2030       1       1       1    -3.7    90.1    3.49    71.0     0.0     0.0     0.0    0.00
       3    2030       1       1       2    -3.8    88.9    3.79    70.9     0.0     0.0     0.0    0.00
       4    2030       1       1       3    -3.9    87.3    4.49    70.8     0.0     0.0     0.0    0.00
       5    2030       1       1       4    -4.1    85.7    5.10    39.2     0.0     0.0     0.0    0.00
       6    2030       1       1       5    -4.2    84.1    5.81    39.3     0.0     0.0     0.0    0.00
       7    2030       1       1       6    -5.5    87.0    5.10    39.2     0.0     0.0     0.0    0.00
       8    2030       1       1       7    -6.9    89.9    4.51    28.6     0.0     0.0     0.0    0.00
       9    2030       1       1       8    -8.2    92.3    3.81    28.4     0.0     0.0     0.0    0.00
      10    2030       1       1       9    -8.8    91.8    3.81    28.4     0.0     0.0     0.0    0.00
      11    2030       1       1      10    -9.3    91.4    3.79    39.0     8.8     8.8     0.0    0.00
      12    2030       1       1      11    -9.8    90.9    3.79    39.0    42.1    42.1     0.0    0.00
      13    2030       1       1      12    -9.6    91.1    3.49    38.9    83.9    26.2   550.8    0.00
      14    2030       1       1      13    -9.4    91.3    3.13    17.4   101.2    29.7   682.2    0.00
      15    2030       1       1      14    -9.1    91.5    2.83    17.1    80.1    80.1     0.0    0.00
      16    2030       1       1      15    -9.9    90.8    2.83    17.1    38.9    38.9     0.0    0.00
      17    2030       1       1      16   -10.8    90.1    2.83    17.1     9.3     9.3     0.0    0.00
      18    2030       1       1      17   -11.6    89.4    2.83    17.1     0.0     0.0     0.0    0.00
      19    2030       1       1      18   -12.0    89.0    2.83    17.1     0.0     0.0     0.0    0.00
      20    2030       1       1      19   -12.6    88.5    2.80    27.8     0.0     0.0     0.0    0.00
      21    2030       1       1      20   -13.0    88.1    2.80    27.8     0.0     0.0     0.0    0.00
      22    2030       1       1      21   -13.1    88.1    2.80    27.8     0.0     0.0     0.0    0.00
      23    2030       1       1      22   -13.1    88.1    2.80    27.8     0.0     0.0     0.0    0.00
      24    2030       1       1      23   -13.2    88.0    2.80    27.8     0.0     0.0     0.0    0.00
      25    2030       1       2       0   -13.6    87.7    2.80    27.8     0.0     0.0     0.0    0.00
      26    2030       1       2       1   -13.9    87.4    2.83    17.1     0.0     0.0     0.0    0.00
      27    2030       1       2       2   -14.3    87.1    2.83    17.1     0.0     0.0     0.0    0.00
      28    2030       1       2       3   -14.5    86.9    2.83    17.1     0.0     0.0     0.0    0.00
      29    2030       1       2       4   -14.7    86.7    2.79    38.6     0.0     0.0     0.0    0.00
      30    2030       1       2       5   -14.9    86.5    2.79    38.6     0.0     0.0     0.0    0.00
      31    2030       1       2       6   -15.3    86.2    2.48    38.4     0.0     0.0     0.0    0.00
      32    2030       1       2       7   -15.6    85.9    2.12    16.1     0.0     0.0     0.0    0.00
      33    2030       1       2       8   -16.0    85.6    1.82    15.5     0.0     0.0     0.0    0.00
      34    2030       1       2       9   -16.4    85.3    1.52    14.6     0.0     0.0     0.0    0.00
      35    2030       1       2      10   -16.6    85.1    1.15     1.2    10.9    10.9     0.0    0.00
      36    2030       1       2      11   -17.0    84.8    0.86   358.1    46.6    46.6     0.0    0.00
      37    2030       1       2      12   -16.3    85.4    0.86   358.1    84.9    24.7   565.8    0.00
      38    2030       1       2      13   -15.4    86.1    0.89   346.8    98.5    27.5   667.1    0.00
      39    2030       1       2      14   -14.7    86.7    0.89   346.8    78.3    78.3     0.0    0.00
      40    2030       1       2      15   -15.2    86.3    0.89   346.8    37.6    37.6     0.0    0.00
      41    2030       1       2      16   -15.6    85.9    0.82     9.9     8.8     8.8     0.0    0.00
      42    2030       1       2      17   -16.1    85.5    0.82     9.9     0.0     0.0     0.0    0.00
      43    2030       1       2      18   -16.9    84.9    0.82     9.9     0.0     0.0     0.0    0.00
      44    2030       1       2      19   -17.6    84.3    0.93   133.8     0.0     0.0     0.0    0.00
      45    2030       1       2      20   -18.4    83.6    0.93   133.8     0.0     0.0     0.0    0.00
      46    2030       1       2      21   -18.7    83.4    0.64   140.2     0.0     0.0     0.0    0.00
      47    2030       1       2      22   -19.1    83.1    0.29   168.6     0.0     0.0     0.0    0.00
      48    2030       1       2      23   -19.3    82.9    0.25   236.0     0.0     0.0     0.0    0.00
      49    2030       1       3       0   -19.6    82.7    0.55   238.2     0.0     0.0     0.0    0.00
      50    2030       1       3       1   -20.0    82.4    0.95   239.0     0.0     0.0     0.0    0.00
      51    2030       1       3       2   -20.2    82.2    1.25   239.2     0.0     0.0     0.0    0.00
      52    2030       1       3       3   -20.5    81.9    1.25   239.2     0.0     0.0     0.0    0.00
      53    2030       1       3       4   -20.8    81.7    1.23   215.0     0.0     0.0     0.0    0.00
      54    2030       1       3       5   -21.0    81.5    1.23   215.0     0.0     0.0     0.0    0.00
      55    2030       1       3       6   -21.0    81.6    1.53   214.0     0.0     0.0     0.0    0.00
      56    2030       1       3       7   -20.9    81.7    1.93   213.2     0.0     0.0     0.0    0.00
      57    2030       1       3       8   -20.8    81.7    2.24   212.8     0.0     0.0     0.0    0.00
      58    2030       1       3       9   -20.0    82.4    2.24   212.8     0.0     0.0     0.0    0.00
      59    2030       1       3      10   -19.1    83.0    2.26   230.7    15.7    15.7     0.0    0.00
      60    2030       1       3      11   -18.3    83.7    2.26   230.7    54.5    54.5     0.0    0.00
      61    2030       1       3      12   -15.0    86.4    2.56   230.6    69.8    44.1   237.7    0.00
      62    2030       1       3      13   -11.6    89.4    2.95   221.3    80.4    42.8   348.1    0.00
      63    2030       1       3      14    -8.2    92.3    3.26   221.2    88.9    88.9     0.0    0.00
      64    2030       1       3      15    -8.3    92.2    3.26   221.2    54.1    54.1     0.0    0.00
      65    2030       1       3      16    -8.4    92.2    3.26   221.2    16.0    16.0     0.0    0.00
      66    2030       1       3      17    -8.5    92.1    3.26   221.2     0.0     0.0     0.0    0.00
      67    2030       1       3      18    -8.1    92.4    3.26   221.2     0.0     0.0     0.0    0.00
      68    2030       1       3      19    -7.7    92.8    3.26   221.2     0.0     0.0     0.0    0.00
      69    2030       1       3      20    -7.3    93.1    3.26   221.2     0.0     0.0     0.0    0.00
      70    2030       1       3      21    -6.6    93.8    3.26   221.2     0.0     0.0     0.0    0.00
      71    2030       1       3      22    -5.9    94.5    3.26   230.5     0.0     0.0     0.0    0.00
      72    2030       1       3      23    -5.2    95.1    3.26   230.5     0.0     0.0     0.0    0.00
      73    2030       1       4       0    -4.9    95.4    3.26   230.5     0.0     0.0     0.0    0.00
      74    2030       1       4       1    -4.5    95.3    3.26   230.5     0.0     0.0     0.0    0.00
      75    2030       1       4       2    -4.3    94.6    3.26   230.5     0.0     0.0     0.0    0.00
      76    2030       1       4       3    -4.3    93.9    3.26   230.5     0.0     0.0     0.0    0.00
      77    2030       1       4       4    -4.3    93.4    3.26   230.5     0.0     0.0     0.0    0.00
      78    2030       1       4       5    -4.3    92.7    3.26   230.5     0.0     0.0     0.0    0.00
      79    2030       1       4       6    -4.1    93.0    3.26   230.5     0.0     0.0     0.0    0.00
      80    2030       1       4       7    -3.8    93.4    3.26   239.7     0.0     0.0     0.0    0.00
      81    2030       1       4       8    -3.6    93.6    3.26   239.7     0.0     0.0     0.0    0.00
      82    2030       1       4       9    -3.6    94.3    2.96   239.7     0.0     0.0     0.0    0.00
      83    2030       1       4      10    -3.5    94.9    2.56   230.6     2.7     2.7     0.0    0.00
      84    2030       1       4      11    -3.5    95.5    2.26   230.7    11.2    11.2     0.0    0.00
      85    2030       1       4      12    -3.4    95.2    2.56   230.6    23.2    23.2     0.0    0.00
      86    2030       1       4      13    -3.3    94.9    2.96   239.7    28.0    28.0     0.0    0.00
      87    2030       1       4      14    -3.2    94.6    3.26   239.7    23.2    23.2     0.0    0.00
      88    2030       1       4      15    -2.9    94.8    3.57   239.7    16.2    16.2     0.0    0.00
      89    2030       1       4      16    -2.6    95.2    3.96   221.0     6.1     6.1     0.0    0.25
      90    2030       1       4      17    -2.4    95.5    4.26   220.9     0.0     0.0     0.0    0.17
      91    2030       1       4      18    -2.2    95.8    4.26   220.9     0.0     0.0     0.0    0.17
      92    2030       1       4      19    -1.9    96.1    4.27   239.8     0.0     0.0     0.0    0.17
      93    2030       1       4      20    -1.7    96.4    4.27   239.8     0.0     0.0     0.0    0.25
      94    2030       1       4      21    -1.6    96.4    3.97   239.8     0.0     0.0     0.0    0.19
      95    2030       1       4      22    -1.5    96.4    3.57   239.7     0.0     0.0     0.0    0.19
      96    2030       1       4      23    -1.5    96.4    3.26   239.7     0.0     0.0     0.0    0.25
      97    2030       1       5       0    -1.5    96.7    3.26   239.7     0.0     0.0     0.0    0.25
      98    2030       1       5       1    -1.5    97.1    3.26   239.7     0.0     0.0     0.0    0.31
      99    2030       1       5       2    -1.6    97.4    3.26   239.7     0.0     0.0     0.0    0.34
     100    2030       1       5       3    -1.5    97.4    3.26   239.7     0.0     0.0     0.0    0.38
