Ilmatieteen_laitos Meteorologiska_institutet Finnish_Meteorological_Institute 2013  
Aika-askel Vuosi Kuukausi Päivä Aika Lämpötila(°C) Suhteellinen_kosteus(%) Tuulen_nopeus(m/s) Tuulen_suunta(astetta) Kokonaissäteily_vaakapinnalle(W/m2) Hajasäteily_vaakapinnalle(W/m2) Suora_säteily_kohtisuoralle_pinnalle(W/m2) Sademäärä(mm/h) 
Tidssteg År Månad Dag Tid Temperatur(°C) Relativ_fuktighet(%) Vindhastighet(m/s) Vindriktning(grader) Global_strålning_på_vågrät_yta(W/m2) Diffus_strålning_på_vågrät_yta(W/m2) Direkt_strålning_på_normalyta(W/m2) Nederbörd(mm/h) 
Timestep Year Month Day Time Temperature(°C) Relative_humidity(%) Wind_speed(m/s) Wind_direction(degrees) Global_horisontal_radiation(W/m2) Diffuse_horisontal_radiation(W/m2) Direct_normal_solar_radiation(W/m2) Precipitation(mm/h)
#    STEP    YEAR    MONTH     DAY     HOUR     T      RH             WS      WD      Rglob   Rdiff   Rnorm  Precip
      60    2100       1       3      11    -9.8    91.0    3.24   230.1    46.1    46.1     0.0    0.00
      61    2100       1       3      12    -7.2    93.2    3.54   230.1    59.0    44.1   138.3    0.00
      62    2100       1       3      13    -4.6    95.6    3.92   223.2    68.0    42.8   233.6    0.00
      63    2100       1       3      14    -2.1    98.0    4.22   223.0    75.3    75.3     0.0    0.00
      64    2100       1       3      15    -2.1    97.9    4.22   223.0    45.7    45.7     0.0    0.00
      65    2100       1       3      16    -2.2    97.9    4.22   223.0    13.5    13.5     0.0    0.00
      66    2100       1       3      17    -2.3    97.8    4.22   223.0     0.0     0.0     0.0    0.00
      67    2100       1       3      18    -2.0    98.1    4.22   223.0     0.0     0.0     0.0    0.00
      68    2100       1       3      19    -1.7    98.4    4.22   223.0     0.0     0.0     0.0    0.00
      69    2100       1       3      20    -1.4    98.7    4.22   223.0     0.0     0.0     0.0    0.00
      70    2100       1       3      21    -0.8    99.2    4.22   223.0     0.0     0.0     0.0    0.00
      71    2100       1       3      22    -0.3    99.7    4.23   230.0     0.0     0.0     0.0    0.00
      72    2100       1       3      23     0.3   100.0    4.23   230.0     0.0     0.0     0.0    0.00
      73    2100       1       4       0     0.5   100.0    4.23   230.0     0.0     0.0     0.0    0.00
      74    2100       1       4       1     0.7    99.6    4.23   230.0     0.0     0.0     0.0    0.00
      75    2100       1       4       2     0.9    98.7    4.23   230.0     0.0     0.0     0.0    0.00
      76    2100       1       4       3     0.9    98.0    4.23   230.0     0.0     0.0     0.0    0.00
      77    2100       1       4       4     0.9    97.5    4.23   230.0     0.0     0.0     0.0    0.00
      78    2100       1       4       5     0.9    96.8    4.23   230.0     0.0     0.0     0.0    0.00
      79    2100       1       4       6     1.1    96.9    4.23   230.0     0.0     0.0     0.0    0.00
      80    2100       1       4       7     1.3    97.1    4.22   237.1     0.0     0.0     0.0    0.00
      81    2100       1       4       8     1.4    97.2    4.22   237.1     0.0     0.0     0.0    0.00
      82    2100       1       4       9     1.4    97.8    3.92   236.9     0.0     0.0     0.0    0.00
      83    2100       1       4      10     1.5    98.3    3.54   230.1     2.3     2.3     0.0    0.00
      84    2100       1       4      11     1.5    98.9    3.24   230.1     9.5     9.5     0.0    0.00
      85    2100       1       4      12     1.6    98.6    3.54   230.1    19.6    19.6     0.0    0.00
      86    2100       1       4      13     1.7    98.0    3.92   236.9    23.7    23.7     0.0    0.00
      87    2100       1       4      14     1.8    97.7    4.22   237.1    19.6    19.6     0.0    0.00
      88    2100       1       4      15     2.0    97.7    4.52   237.3    13.7    13.7     0.0    0.00
      89    2100       1       4      16     2.2    97.8    4.91   222.6     5.2     5.2     0.0    0.28
      90    2100       1       4      17     2.4    97.9    5.21   222.4     0.0     0.0     0.0    0.19
      91    2100       1       4      18     2.5    98.0    5.21   222.4     0.0     0.0     0.0    0.19
      92    2100       1       4      19     2.7    98.1    5.21   237.6     0.0     0.0     0.0    0.19
      93    2100       1       4      20     2.9    98.2    5.21   237.6     0.0     0.0     0.0    0.28
      94    2100       1       4      21     2.9    98.1    4.91   237.5     0.0     0.0     0.0    0.21
      95    2100       1       4      22     3.0    98.0    4.52   237.3     0.0     0.0     0.0    0.21
      96    2100       1       4      23     3.1    97.9    4.22   237.1     0.0     0.0     0.0    0.28
      97    2100       1       5       0     3.0    98.3    4.22   237.1     0.0     0.0     0.0    0.27
      98    2100       1       5       1     3.0    98.6    4.22   237.1     0.0     0.0     0.0    0.34
      99    2100       1       5       2     2.9    99.0    4.22   237.1     0.0     0.0     0.0    0.38
     100    2100       1       5       3     3.0    98.9    4.22   237.1     0.0     0.0     0.0    0.43
     101    2100       1       5       4     3.1    98.8    4.18   244.2     0.0     0.0     0.0    0.20
     102    2100       1       5       5     3.1    98.7    4.18   244.2     0.0     0.0     0.0    0.20
     103    2100       1       5       6     3.2    98.4    3.88   243.7     0.0     0.0     0.0    0.14
     104    2100       1       5       7     3.3    98.0    2.96   276.6     0.0     0.0     0.0    0.14
     105    2100       1       5       8     3.3    97.6    2.69   274.0     0.0     0.0     0.0    0.06
     106    2100       1       5       9     3.2    97.8    2.69   274.0     0.0     0.0     0.0    0.02
     107    2100       1       5      10     3.1    97.9    2.83   267.5     2.9     2.9     0.0    0.02
     108    2100       1       5      11     2.9    98.1    2.83   267.5    12.2    12.2     0.0    0.04
     109    2100       1       5      12     2.9    97.9    3.11   269.6    17.4    17.4     0.0    0.02
     110    2100       1       5      13     2.8    97.6    2.76   303.4    16.9    16.9     0.0    0.02
     111    2100       1       5      14     2.7    97.4    3.03   305.9    14.4    14.4     0.0    0.02
