Ilmatieteen_laitos Meteorologiska_institutet Finnish_Meteorological_Institute 2013  
Aika-askel Vuosi Kuukausi Päivä Aika Lämpötila(°C) Suhteellinen_kosteus(%) Tuulen_nopeus(m/s) Tuulen_suunta(astetta) Kokonaissäteily_vaakapinnalle(W/m2) Hajasäteily_vaakapinnalle(W/m2) Suora_säteily_kohtisuoralle_pinnalle(W/m2) Sademäärä(mm/h) 
Tidssteg År Månad Dag Tid Temperatur(°C) Relativ_fuktighet(%) Vindhastighet(m/s) Vindriktning(grader) Global_strålning_på_vågrät_yta(W/m2) Diffus_strålning_på_vågrät_yta(W/m2) Direkt_strålning_på_normalyta(W/m2) Nederbörd(mm/h) 
Timestep Year Month Day Time Temperature(°C) Relative_humidity(%) Wind_speed(m/s) Wind_direction(degrees) Global_horisontal_radiation(W/m2) Diffuse_horisontal_radiation(W/m2) Direct_normal_solar_radiation(W/m2) Precipitation(mm/h)
#    STEP    YEAR    MONTH     DAY     HOUR     T      RH             WS      WD      Rglob   Rdiff   Rnorm  Precip
       1    2030       1       1       0     3.6    99.0    3.83   297.5     0.0     0.0     0.0    0.12
       2    2030       1       1       1     3.1    99.0    4.51   268.8     0.0     0.0     0.0    0.12
       3    2030       1       1       2     2.6    99.0    5.22   268.9     0.0     0.0     0.0    0.12
       4    2030       1       1       3     2.5    99.0    4.91   268.9     0.0     0.0     0.0    0.12
       5    2030       1       1       4     2.3    99.0    4.49   278.4     0.0     0.0     0.0    0.12
       6    2030       1       1       5     2.2    99.0    4.19   278.3     0.0     0.0     0.0    0.00
       7    2030       1       1       6     2.1    99.0    4.49   278.4     0.0     0.0     0.0    0.00
       8    2030       1       1       7     1.9    99.0    4.94   239.9     0.0     0.0     0.0    0.00
       9    2030       1       1       8     1.7    99.0    5.24   240.0     0.0     0.0     0.0    0.00
      10    2030       1       1       9     2.1    99.3    4.53   239.9     0.0     0.0     0.0    0.00
      11    2030       1       1      10     2.5    99.7    3.84   182.4     1.6     1.6     0.0    0.00
      12    2030       1       1      11     2.9   100.0    3.13   182.9    11.2    11.2     0.0    0.00
      13    2030       1       1      12     3.5    97.7    4.14   182.2    13.2    13.2     0.0    0.00
      14    2030       1       1      13     4.1    95.4    5.09   162.1    15.3    15.3     0.0    0.00
      15    2030       1       1      14     4.7    93.1    6.11   161.7     8.8     8.8     0.0    0.00
      16    2030       1       1      15     4.7    94.1    7.12   161.5     1.3     1.3     0.0    0.00
      17    2030       1       1      16     4.7    95.1    8.13   161.3     0.0     0.0     0.0    0.00
      18    2030       1       1      17     4.6    96.1    9.14   161.2     0.0     0.0     0.0    0.00
      19    2030       1       1      18     4.7    96.7    7.42   161.4     0.0     0.0     0.0    2.84
      20    2030       1       1      19     4.7    97.3    5.80   161.8     0.0     0.0     0.0    2.53
      21    2030       1       1      20     4.7    98.0    4.08   162.6     0.0     0.0     0.0    0.48
      22    2030       1       1      21     4.9    98.0    4.79   162.2     0.0     0.0     0.0    0.14
      23    2030       1       1      22     5.0    98.0    5.40   162.0     0.0     0.0     0.0    0.00
      24    2030       1       1      23     5.2    98.0    6.11   161.7     0.0     0.0     0.0    0.00
      25    2030       1       2       0     5.2    97.7    5.80   161.8     0.0     0.0     0.0    0.03
      26    2030       1       2       1     5.1    97.3    5.40   162.0     0.0     0.0     0.0    0.07
      27    2030       1       2       2     5.1    97.0    5.09   162.1     0.0     0.0     0.0    0.13
      28    2030       1       2       3     4.7    96.7    3.78   162.8     0.0     0.0     0.0    0.00
      29    2030       1       2       4     4.4    96.4    2.21   113.8     0.0     0.0     0.0    0.00
      30    2030       1       2       5     4.0    96.1    0.91   119.4     0.0     0.0     0.0    0.20
      31    2030       1       2       6     3.8    96.7    0.91   119.4     0.0     0.0     0.0    0.72
      32    2030       1       2       7     3.5    97.3    0.99   329.3     0.0     0.0     0.0    0.86
      33    2030       1       2       8     3.4    98.0    0.99   329.3     0.0     0.0     0.0    0.10
      34    2030       1       2       9     3.5    98.0    2.30   335.4     0.0     0.0     0.0    0.00
      35    2030       1       2      10     3.6    98.0    3.90   268.6     0.3     0.3     0.0    0.00
      36    2030       1       2      11     3.8    98.0    5.22   268.9     9.2     9.2     0.0    0.00
      37    2030       1       2      12     3.7    98.0    5.22   268.9    13.7    13.7     0.0    0.08
      38    2030       1       2      13     3.6    98.0    5.20   278.6    19.3    19.3     0.0    0.45
      39    2030       1       2      14     3.5    98.0    5.20   278.6    22.5    22.5     0.0    0.28
      40    2030       1       2      15     3.6    97.3    5.50   278.7     9.8     9.8     0.0    0.00
      41    2030       1       2      16     3.6    96.7    5.88   288.6     1.0     1.0     0.0    0.00
      42    2030       1       2      17     3.7    96.1    6.18   288.6     0.0     0.0     0.0    0.00
      43    2030       1       2      18     3.4    94.8    6.18   288.6     0.0     0.0     0.0    0.14
      44    2030       1       2      19     3.2    93.4    6.21   278.9     0.0     0.0     0.0    0.08
      45    2030       1       2      20     2.9    92.1    6.21   278.9     0.0     0.0     0.0    0.00
      46    2030       1       2      21     2.7    92.8    4.89   278.5     0.0     0.0     0.0    0.17
      47    2030       1       2      22     2.5    93.4    3.51   258.9     0.0     0.0     0.0    0.00
      48    2030       1       2      23     2.3    94.1    2.20   258.2     0.0     0.0     0.0    0.00
      49    2030       1       3       0     2.2    94.1    2.91   258.6     0.0     0.0     0.0    0.00
      50    2030       1       3       1     2.1    94.1    3.52   249.4     0.0     0.0     0.0    0.00
      51    2030       1       3       2     2.1    94.1    4.23   249.5     0.0     0.0     0.0    0.00
      52    2030       1       3       3     2.2    94.1    4.23   249.5     0.0     0.0     0.0    0.00
      53    2030       1       3       4     2.3    94.1    4.22   259.1     0.0     0.0     0.0    0.00
      54    2030       1       3       5     2.5    94.1    4.22   259.1     0.0     0.0     0.0    0.00
      55    2030       1       3       6     2.8    93.4    4.52   259.1     0.0     0.0     0.0    0.00
      56    2030       1       3       7     3.0    92.8    4.91   268.9     0.0     0.0     0.0    0.00
      57    2030       1       3       8     3.3    92.1    5.22   268.9     0.0     0.0     0.0    0.00
      58    2030       1       3       9     3.3    91.8    5.52   269.0     0.0     0.0     0.0    0.00
      59    2030       1       3      10     3.3    91.4    5.90   278.8     2.1     2.1     0.0    0.00
      60    2030       1       3      11     3.3    91.1    6.21   278.9     9.0     9.0     0.0    0.00
