Ilmatieteen_laitos Meteorologiska_institutet Finnish_Meteorological_Institute 2013  
Aika-askel Vuosi Kuukausi Päivä Aika Lämpötila(°C) Suhteellinen_kosteus(%) Tuulen_nopeus(m/s) Tuulen_suunta(astetta) Kokonaissäteily_vaakapinnalle(W/m2) Hajasäteily_vaakapinnalle(W/m2) Suora_säteily_kohtisuoralle_pinnalle(W/m2) Sademäärä(mm/h) 
Tidssteg År Månad Dag Tid Temperatur(°C) Relativ_fuktighet(%) Vindhastighet(m/s) Vindriktning(grader) Global_strålning_på_vågrät_yta(W/m2) Diffus_strålning_på_vågrät_yta(W/m2) Direkt_strålning_på_normalyta(W/m2) Nederbörd(mm/h) 
Timestep Year Month Day Time Temperature(°C) Relative_humidity(%) Wind_speed(m/s) Wind_direction(degrees) Global_horisontal_radiation(W/m2) Diffuse_horisontal_radiation(W/m2) Direct_normal_solar_radiation(W/m2) Precipitation(mm/h)
#    STEP    YEAR    MONTH     DAY     HOUR     T      RH             WS      WD      Rglob   Rdiff   Rnorm  Precip
      61    2100       1       3      12     7.6    91.3    7.30   273.7    35.6    35.6     0.0    0.00
      62    2100       1       3      13     7.6    90.0    7.72   274.0    50.8    50.8     0.0    0.00
      63    2100       1       3      14     7.6    88.5    8.04   274.3    25.6    25.6     0.0    0.00
      64    2100       1       3      15     7.3    88.3    8.04   274.3    22.1    22.1     0.0    0.00
      65    2100       1       3      16     7.0    87.9    8.16   265.1     2.4     2.4     0.0    0.00
      66    2100       1       3      17     6.6    87.7    8.16   265.1     0.0     0.0     0.0    0.00
      67    2100       1       3      18     6.5    86.2    8.16   265.1     0.0     0.0     0.0    0.00
      68    2100       1       3      19     6.5    84.9    8.26   256.0     0.0     0.0     0.0    0.00
      69    2100       1       3      20     6.5    83.4    8.26   256.0     0.0     0.0     0.0    0.00
      70    2100       1       3      21     6.5    82.3    6.88   255.2     0.0     0.0     0.0    0.00
      71    2100       1       3      22     6.5    81.1    5.46   245.4     0.0     0.0     0.0    0.00
      72    2100       1       3      23     6.6    79.9    4.08   243.8     0.0     0.0     0.0    0.00
      73    2100       1       4       0     6.0    83.8    4.08   243.8     0.0     0.0     0.0    0.00
      74    2100       1       4       1     5.4    88.2    4.13   236.0     0.0     0.0     0.0    0.00
      75    2100       1       4       2     4.8    92.4    4.13   236.0     0.0     0.0     0.0    0.00
      76    2100       1       4       3     4.7    93.3    3.81   235.7     0.0     0.0     0.0    0.00
      77    2100       1       4       4     4.7    94.2    3.23   191.4     0.0     0.0     0.0    0.00
      78    2100       1       4       5     4.6    95.1    2.91   192.7     0.0     0.0     0.0    0.00
      79    2100       1       4       6     5.5    93.9    4.28   188.6     0.0     0.0     0.0    0.00
      80    2100       1       4       7     6.5    93.0    5.86   195.0     0.0     0.0     0.0    0.00
      81    2100       1       4       8     7.4    92.7    7.24   194.0     0.0     0.0     0.0    0.00
      82    2100       1       4       9     7.5    93.8    7.56   193.9     0.0     0.0     0.0    0.00
      83    2100       1       4      10     7.6    94.9    7.90   184.6     0.8     0.8     0.0    0.00
      84    2100       1       4      11     7.7    96.0    8.22   184.5     4.7     4.7     0.0    0.20
      85    2100       1       4      12     7.8    96.5    8.54   184.3     8.0     8.0     0.0    0.63
      86    2100       1       4      13     7.8    97.0    8.97   184.1     6.3     6.3     0.0    1.38
      87    2100       1       4      14     7.9    97.6    9.29   184.0     5.2     5.2     0.0    0.63
      88    2100       1       4      15     8.3    97.8    9.29   184.0     2.5     2.5     0.0    1.13
      89    2100       1       4      16     8.7    98.2    9.38   193.1     0.2     0.2     0.0    0.40
      90    2100       1       4      17     9.1    98.4    9.38   193.1     0.0     0.0     0.0    0.20
      91    2100       1       4      18     9.2    98.4    9.70   193.0     0.0     0.0     0.0    0.00
      92    2100       1       4      19     9.4    98.4   10.20   202.0     0.0     0.0     0.0    0.00
      93    2100       1       4      20     9.6    98.4   10.52   202.0     0.0     0.0     0.0    0.20
      94    2100       1       4      21     9.8    97.8   10.52   202.0     0.0     0.0     0.0    0.00
      95    2100       1       4      22    10.1    97.4   10.52   202.0     0.0     0.0     0.0    0.40
      96    2100       1       4      23    10.3    96.8   10.52   202.0     0.0     0.0     0.0    0.00
      97    2100       1       5       0    10.2    97.4   10.52   202.0     0.0     0.0     0.0    0.00
      98    2100       1       5       1    10.0    97.8   10.52   202.0     0.0     0.0     0.0    0.00
      99    2100       1       5       2     9.9    98.4   10.52   202.0     0.0     0.0     0.0    0.00
     100    2100       1       5       3     9.9    98.4    9.77   202.1     0.0     0.0     0.0    0.00
     101    2100       1       5       4     9.8    98.4    9.13   202.3     0.0     0.0     0.0    0.00
     102    2100       1       5       5     9.8    98.4    8.38   202.5     0.0     0.0     0.0    0.00
     103    2100       1       5       6     9.8    98.6    8.70   202.4     0.0     0.0     0.0    0.00
     104    2100       1       5       7     9.7    99.0    9.06   193.2     0.0     0.0     0.0    1.88
     105    2100       1       5       8     9.7    99.2    9.38   193.1     0.0     0.0     0.0    1.88
     106    2100       1       5       9     9.8    99.0    9.06   193.2     0.0     0.0     0.0    1.18
     107    2100       1       5      10     9.8    98.6    8.63   193.4     1.9     1.9     0.0    0.00
     108    2100       1       5      11     9.9    98.4    8.31   193.5    13.7    13.7     0.0    2.11
     109    2100       1       5      12     9.9    98.2    7.56   193.9    12.7    12.7     0.0    0.00
     110    2100       1       5      13     9.9    97.8    7.04   229.0    11.8    11.8     0.0    0.00
     111    2100       1       5      14    10.0    97.6    6.29   228.8    13.3    13.3     0.0    0.00
     112    2100       1       5      15     9.6    96.5    6.29   228.8    11.6    11.6     0.0    0.00
     113    2100       1       5      16     9.1    95.4    6.03   263.3     2.4     2.4     0.0    0.00
     114    2100       1       5      17     8.6    94.4    6.03   263.3     0.0     0.0     0.0    0.00
     115    2100       1       5      18     8.0    93.8    6.03   263.3     0.0     0.0     0.0    0.00
     116    2100       1       5      19     7.3    93.3    5.78   281.3     0.0     0.0     0.0    0.00
     117    2100       1       5      20     6.7    92.7    5.78   281.3     0.0     0.0     0.0    0.00
     118    2100       1       5      21     6.3    93.3    5.46   280.7     0.0     0.0     0.0    0.00
     119    2100       1       5      22     6.0    94.0    5.39   253.8     0.0     0.0     0.0    0.00
     120    2100       1       5      23     5.6    94.9    5.07   253.4     0.0     0.0     0.0    0.00
     121    2100       1       6       0     5.5    94.4    4.75   253.0     0.0     0.0     0.0    0.00
     122    2100       1       6       1     5.4    94.1    4.40   244.2     0.0     0.0     0.0    0.00
     123    2100       1       6       2     5.3    93.6    4.08   243.8     0.0     0.0     0.0    0.00
     124    2100       1       6       3     5.1    94.9    4.08   243.8     0.0     0.0     0.0    0.00
     125    2100       1       6       4     4.8    96.3    4.08   243.8     0.0     0.0     0.0    0.00
     126    2100       1       6       5     4.6    97.6    4.08   243.8     0.0     0.0     0.0    0.00
     127    2100       1       6       6     4.8    97.6    3.76   243.3     0.0     0.0     0.0    0.00
     128    2100       1       6       7     5.0    97.8    3.41   220.7     0.0     0.0     0.0    0.00
     129    2100       1       6       8     5.2    97.8    3.09   220.7     0.0     0.0     0.0    0.00
     130    2100       1       6       9     5.3    97.7    3.09   220.7     0.0     0.0     0.0    0.00
     131    2100       1       6      10     5.4    97.6    3.08   213.8     2.5     2.5     0.0    0.00
     132    2100       1       6      11     5.5    97.5    3.08   213.8    34.5    33.0    15.7    0.00
     133    2100       1       6      12     5.8    96.6    2.33   215.0    70.8    70.8     0.0    0.00
     134    2100       1       6      13     6.1    95.8    1.69   216.9    41.4    41.4     0.0    0.00
     135    2100       1       6      14     6.5    95.2    0.95   222.4    27.5    27.5     0.0    0.00
     136    2100       1       6      15     6.3    95.7    0.95   222.4    12.2    12.2     0.0    0.00
     137    2100       1       6      16     6.1    96.3    0.95   222.4     3.0     3.0     0.0    0.00
     138    2100       1       6      17     5.9    97.1    0.95   222.4     0.0     0.0     0.0    0.00
     139    2100       1       6      18     5.7    97.8    0.95   222.4     0.0     0.0     0.0    0.00
     140    2100       1       6      19     5.5    98.5    0.95   222.4     0.0     0.0     0.0    0.00
     141    2100       1       6      20     5.4    99.2    0.95   222.4     0.0     0.0     0.0    0.00
     142    2100       1       6      21     4.9    99.8    0.95   222.4     0.0     0.0     0.0    0.00
     143    2100       1       6      22     4.3   100.0    0.95   222.4     0.0     0.0     0.0    0.00
     144    2100       1       6      23     3.8   100.0    0.95   222.4     0.0     0.0     0.0    0.00
     145    2100       1       7       0     3.7   100.0    0.96   241.7     0.0     0.0     0.0    0.00
     146    2100       1       7       1     3.6   100.0    1.13   263.5     0.0     0.0     0.0    0.00
     147    2100       1       7       2     3.4   100.0    1.33   275.1     0.0     0.0     0.0    0.00
     148    2100       1       7       3     3.8   100.0    1.33   275.1     0.0     0.0     0.0    0.00
     149    2100       1       7       4     4.2   100.0    0.25   335.0     0.0     0.0     0.0    0.00
     150    2100       1       7       5     4.5   100.0    0.25   335.0     0.0     0.0     0.0    0.00
     151    2100       1       7       6     4.7   100.0    0.25   335.0     0.0     0.0     0.0    0.00
     152    2100       1       7       7     4.7    99.9    1.13   161.1     0.0     0.0     0.0    0.00
     153    2100       1       7       8     4.9    99.8    1.13   161.1     0.0     0.0     0.0    0.00
     154    2100       1       7       9     5.2    99.6    0.96   176.2     0.0     0.0     0.0    0.00
     155    2100       1       7      10     5.7    99.5    0.88   202.6     0.5     0.5     0.0    0.00
